model,CV accuracy,CV std,CV macro F1,CV balanced acc
random_forest,0.5781403844868682,0.005095559211726235,0.48542773041040393,0.512772911427404
xgboost,0.5741251030273329,0.009006510850640087,0.4941309267129742,0.5111725784280365
catboost,0.5656303602058319,0.008837539441034784,0.5166083105792817,0.5252936212347983
hist_gradient_boosting,0.5649211423225146,0.006732582959178922,0.49097334241001833,0.5058961748816927
mlp,0.5625595887817157,0.01834547741447948,0.46537248752056143,0.4962349874395427
lightgbm,0.5590132209128779,0.01244235895077615,0.49618761061215777,0.5063711165428995
logistic_regression,0.5228932302688735,0.01813159767001155,0.5023486771660746,0.5055475098944285
